A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 0.00000000e+00
beta = 1.00000000e+00
r_power = 1
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

1.25343502e-01;2.22164400e-01;3.05725464e-01;3.78238685e-01;4.43041451e-01;5.01916035e-01;5.55881824e-01;6.05554838e-01;6.51320580e-01;6.93426185e-01;7.32034288e-01;7.67257290e-01;7.99181107e-01;8.27883219e-01;8.53447663e-01;8.75978250e-01;8.95609985e-01;9.12517338e-01;9.26916820e-01;9.39061482e-01;9.49227205e-01;9.57694171e-01;9.64729004e-01;9.70571981e-01;9.75430743e-01;9.79479467e-01;9.82861438e-01;9.85693220e-01;9.88069178e-01;9.90065696e-01;9.91744811e-01;9.93157197e-01;9.94344556e-01;9.95341481e-01;9.96176907e-01;9.96875222e-01;9.97457124e-01;9.97940271e-01;9.98339796e-01;9.98668695e-01;9.98938144e-01;9.99157751e-01;9.99335759e-01;9.99479226e-01;9.99594167e-01;9.99685688e-01;9.99758101e-01;9.99815022e-01;9.99859470e-01;9.99893943e-01;9.99920495e-01;9.99940803e-01;9.99956226e-01;9.99967854e-01;9.99976558e-01;9.99983026e-01;9.99987796e-01;9.99991289e-01;9.99993826e-01;9.99995656e-01;9.99996966e-01;9.99997896e-01;9.99998552e-01;9.99999011e-01;9.99999329e-01;9.99999548e-01;9.99999698e-01;9.99999800e-01;9.99999868e-01;9.99999914e-01;9.99999944e-01;9.99999964e-01;9.99999977e-01;9.99999985e-01;9.99999991e-01;9.99999994e-01;9.99999996e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.25546277e+00;-7.35264870e-02;3.16808115e-01
1.26586163e-01;2.24392552e-01;3.08831820e-01;3.82123131e-01;4.47628627e-01;5.07141851e-01;5.61686677e-01;6.11879907e-01;6.58105544e-01;7.00607639e-01;7.39544512e-01;7.75023221e-01;8.07123498e-01;8.35916086e-01;8.61478307e-01;8.83908308e-01;9.03338126e-01;9.19944030e-01;9.33950940e-01;9.45627419e-01;9.55270337e-01;9.63183061e-01;9.69654145e-01;9.74942215e-01;9.79268818e-01;9.82817767e-01;9.85738385e-01;9.88150454e-01;9.90149435e-01;9.91811260e-01;9.93196411e-01;9.94353254e-01;9.95320684e-01;9.96130202e-01;9.96807520e-01;9.97373788e-01;9.97846550e-01;9.98240457e-01;9.98567831e-01;9.98839087e-01;9.99063067e-01;9.99247297e-01;9.99398194e-01;9.99521229e-01;9.99621066e-01;9.99701669e-01;9.99766400e-01;9.99818101e-01;9.99859162e-01;9.99891584e-01;9.99917031e-01;9.99936884e-01;9.99952276e-01;9.99964135e-01;9.99973213e-01;9.99980119e-01;9.99985337e-01;9.99989255e-01;9.99992176e-01;9.99994339e-01;9.99995931e-01;9.99997095e-01;9.99997939e-01;9.99998548e-01;9.99998983e-01;9.99999293e-01;9.99999512e-01;9.99999665e-01;9.99999772e-01;9.99999845e-01;9.99999896e-01;9.99999931e-01;9.99999954e-01;9.99999970e-01;9.99999980e-01;9.99999987e-01;9.99999992e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.26745225e+00;-7.28591586e-02;2.24045242e-01
1.27455014e-01;2.25950315e-01;3.11003435e-01;3.84838724e-01;4.50835789e-01;5.10796221e-01;5.65747213e-01;6.16306306e-01;6.62856661e-01;7.05640382e-01;7.44812974e-01;7.80477934e-01;8.12710773e-01;8.41577516e-01;8.67150593e-01;8.89523764e-01;9.08826317e-01;9.25234975e-01;9.38979817e-01;9.50339815e-01;9.59626403e-01;9.67159219e-01;9.73242189e-01;9.78146709e-01;9.82103925e-01;9.85304273e-01;9.87901250e-01;9.90016926e-01;9.91747655e-01;9.93169248e-01;9.94341349e-01;9.95310983e-01;9.96115372e-01;9.96784134e-01;9.97340988e-01;9.97805059e-01;9.98191887e-01;9.98514191e-01;9.98782459e-01;9.99005397e-01;9.99190279e-01;9.99343209e-01;9.99469333e-01;9.99573000e-01;9.99657896e-01;9.99727141e-01;9.99783380e-01;9.99828851e-01;9.99865441e-01;9.99894742e-01;9.99918085e-01;9.99936586e-01;9.99951170e-01;9.99962604e-01;9.99971518e-01;9.99978428e-01;9.99983753e-01;9.99987833e-01;9.99990941e-01;9.99993294e-01;9.99995065e-01;9.99996389e-01;9.99997374e-01;9.99998102e-01;9.99998636e-01;9.99999025e-01;9.99999308e-01;9.99999512e-01;9.99999658e-01;9.99999761e-01;9.99999835e-01;9.99999886e-01;9.99999922e-01;9.99999947e-01;9.99999964e-01;9.99999976e-01;9.99999984e-01;9.99999989e-01;9.99999993e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.27583745e+00;-7.23996686e-02;1.57830715e-01
1.28061462e-01;2.27037552e-01;3.12519051e-01;3.86734009e-01;4.53074303e-01;5.13347223e-01;5.68582368e-01;6.19397896e-01;6.66176486e-01;7.09158997e-01;7.48499084e-01;7.84297867e-01;8.16628002e-01;8.45552256e-01;8.71139612e-01;8.93480613e-01;9.12702347e-01;9.28981478e-01;9.42551302e-01;9.53697777e-01;9.62742350e-01;9.70015927e-01;9.75833068e-01;9.80473952e-01;9.84176290e-01;9.87135036e-01;9.89506554e-01;9.91414524e-01;9.92955994e-01;9.94206811e-01;9.95226182e-01;9.96060367e-01;9.96745597e-01;9.97310352e-01;9.97777126e-01;9.98163785e-01;9.98484604e-01;9.98751068e-01;9.98972479e-01;9.99156424e-01;9.99309134e-01;9.99435754e-01;9.99540562e-01;9.99627128e-01;9.99698444e-01;9.99757025e-01;9.99804988e-01;9.99844120e-01;9.99875925e-01;9.99901670e-01;9.99922423e-01;9.99939077e-01;9.99952381e-01;9.99962958e-01;9.99971326e-01;9.99977914e-01;9.99983074e-01;9.99987094e-01;9.99990211e-01;9.99992613e-01;9.99994455e-01;9.99995860e-01;9.99996926e-01;9.99997729e-01;9.99998332e-01;9.99998781e-01;9.99999115e-01;9.99999360e-01;9.99999540e-01;9.99999671e-01;9.99999767e-01;9.99999835e-01;9.99999884e-01;9.99999919e-01;9.99999944e-01;9.99999961e-01;9.99999973e-01;9.99999982e-01;9.99999988e-01;9.99999992e-01;9.99999994e-01;9.99999996e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.28169132e+00;-7.20823361e-02;1.10812531e-01
1.28484392e-01;2.27795751e-01;3.13575958e-01;3.88055689e-01;4.54635414e-01;5.15126442e-01;5.70560095e-01;6.21555013e-01;6.68493596e-01;7.11615896e-01;7.51074346e-01;7.86968471e-01;8.19368997e-01;8.48336467e-01;8.73937464e-01;8.96260246e-01;9.15430258e-01;9.31623948e-01;9.45076662e-01;9.56079058e-01;9.64959434e-01;9.72056447e-01;9.77691957e-01;9.82152151e-01;9.85679209e-01;9.88471157e-01;9.90686314e-01;9.92449485e-01;9.93858240e-01;9.94988513e-01;9.95899294e-01;9.96636407e-01;9.97235498e-01;9.97724359e-01;9.98124738e-01;9.98453714e-01;9.98724771e-01;9.98948608e-01;9.99133766e-01;9.99287102e-01;9.99414161e-01;9.99519450e-01;9.99606659e-01;9.99678824e-01;9.99738455e-01;9.99787641e-01;9.99828121e-01;9.99861351e-01;9.99888553e-01;9.99910749e-01;9.99928799e-01;9.99943425e-01;9.99955231e-01;9.99964723e-01;9.99972322e-01;9.99978380e-01;9.99983188e-01;9.99986986e-01;9.99989973e-01;9.99992311e-01;9.99994131e-01;9.99995542e-01;9.99996631e-01;9.99997466e-01;9.99998103e-01;9.99998588e-01;9.99998953e-01;9.99999228e-01;9.99999434e-01;9.99999587e-01;9.99999700e-01;9.99999783e-01;9.99999844e-01;9.99999889e-01;9.99999921e-01;9.99999944e-01;9.99999961e-01;9.99999972e-01;9.99999981e-01;9.99999987e-01;9.99999991e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.28577429e+00;-7.18626493e-02;7.76502858e-02
1.28779276e-01;2.28324383e-01;3.14312845e-01;3.88977187e-01;4.55723893e-01;5.16367095e-01;5.71939342e-01;6.23059637e-01;6.70110217e-01;7.13330604e-01;7.52872417e-01;7.88834111e-01;8.21285103e-01;8.50284418e-01;8.75896989e-01;8.98209473e-01;9.17346131e-01;9.33483188e-01;9.46857317e-01;9.57762350e-01;9.66531268e-01;9.73508041e-01;9.79019527e-01;9.83356010e-01;9.86762708e-01;9.89439732e-01;9.91546736e-01;9.93209301e-01;9.94525377e-01;9.95570992e-01;9.96405032e-01;9.97073074e-01;9.97610414e-01;9.98044433e-01;9.98396415e-01;9.98682955e-01;9.98917038e-01;9.99108866e-01;9.99266491e-01;9.99396300e-01;9.99503387e-01;9.99591837e-01;9.99664947e-01;9.99725391e-01;9.99775350e-01;9.99816614e-01;9.99850658e-01;9.99878703e-01;9.99901761e-01;9.99920678e-01;9.99936158e-01;9.99948791e-01;9.99959068e-01;9.99967403e-01;9.99974138e-01;9.99979561e-01;9.99983911e-01;9.99987387e-01;9.99990153e-01;9.99992345e-01;9.99994074e-01;9.99995433e-01;9.99996495e-01;9.99997323e-01;9.99997964e-01;9.99998459e-01;9.99998839e-01;9.99999129e-01;9.99999350e-01;9.99999517e-01;9.99999643e-01;9.99999737e-01;9.99999807e-01;9.99999860e-01;9.99999898e-01;9.99999926e-01;9.99999947e-01;9.99999962e-01;9.99999973e-01;9.99999981e-01;9.99999987e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.28862134e+00;-7.17102482e-02;5.43590946e-02
1.28984929e-01;2.28693045e-01;3.14826737e-01;3.89619831e-01;4.56483015e-01;5.17232401e-01;5.72901407e-01;6.24109306e-01;6.71238237e-01;7.14527374e-01;7.54127786e-01;7.90137209e-01;8.22624170e-01;8.51646660e-01;8.77268476e-01;8.99575171e-01;9.18690167e-01;9.34789498e-01;9.48110718e-01;9.58949809e-01;9.67642955e-01;9.74537764e-01;9.79964513e-01;9.84216282e-01;9.87540353e-01;9.90138255e-01;9.92170547e-01;9.93763349e-01;9.95014877e-01;9.96001245e-01;9.96781289e-01;9.97400443e-01;9.97893798e-01;9.98288479e-01;9.98605488e-01;9.98861118e-01;9.99068039e-01;9.99236139e-01;9.99373156e-01;9.99485174e-01;9.99576993e-01;9.99652421e-01;9.99714492e-01;9.99765639e-01;9.99807818e-01;9.99842615e-01;9.99871321e-01;9.99894989e-01;9.99914487e-01;9.99930529e-01;9.99943707e-01;9.99954510e-01;9.99963348e-01;9.99970560e-01;9.99976430e-01;9.99981192e-01;9.99985044e-01;9.99988150e-01;9.99990645e-01;9.99992643e-01;9.99994236e-01;9.99995502e-01;9.99996504e-01;9.99997294e-01;9.99997914e-01;9.99998398e-01;9.99998775e-01;9.99999068e-01;9.99999293e-01;9.99999467e-01;9.99999599e-01;9.99999700e-01;9.99999777e-01;9.99999834e-01;9.99999878e-01;9.99999910e-01;9.99999934e-01;9.99999952e-01;9.99999965e-01;9.99999975e-01;9.99999982e-01;9.99999987e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29060701e+00;-7.16043331e-02;3.80411581e-02
1.29128427e-01;2.28950282e-01;3.15185308e-01;3.90068244e-01;4.57012717e-01;5.17836228e-01;5.73572810e-01;6.24841931e-01;6.72025670e-01;7.15362971e-01;7.55004535e-01;7.91047604e-01;8.23560104e-01;8.52599318e-01;8.78228267e-01;9.00531738e-01;9.19632568e-01;9.35706650e-01;9.48992122e-01;9.59786434e-01;9.68427960e-01;9.75266804e-01;9.80635584e-01;9.84829287e-01;9.88096603e-01;9.90640024e-01;9.92620728e-01;9.94165199e-01;9.95371845e-01;9.96316844e-01;9.97059011e-01;9.97643698e-01;9.98105870e-01;9.98472497e-01;9.98764403e-01;9.98997692e-01;9.99184837e-01;9.99335525e-01;9.99457294e-01;9.99556030e-01;9.99636345e-01;9.99701863e-01;9.99755447e-01;9.99799365e-01;9.99835424e-01;9.99865070e-01;9.99889467e-01;9.99909553e-01;9.99926093e-01;9.99939708e-01;9.99950908e-01;9.99960112e-01;9.99967666e-01;9.99973854e-01;9.99978915e-01;9.99983044e-01;9.99986405e-01;9.99989133e-01;9.99991342e-01;9.99993124e-01;9.99994559e-01;9.99995709e-01;9.99996628e-01;9.99997360e-01;9.99997940e-01;9.99998399e-01;9.99998761e-01;9.99999044e-01;9.99999266e-01;9.99999438e-01;9.99999572e-01;9.99999675e-01;9.99999754e-01;9.99999815e-01;9.99999861e-01;9.99999897e-01;9.99999923e-01;9.99999943e-01;9.99999958e-01;9.99999969e-01;9.99999977e-01;9.99999984e-01;9.99999988e-01;9.99999991e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29199260e+00;-7.15306058e-02;2.66235832e-02
1.29228624e-01;2.29129897e-01;3.15435679e-01;3.90381349e-01;4.57382592e-01;5.18257882e-01;5.74041684e-01;6.25353607e-01;6.72575697e-01;7.15946741e-01;7.55617188e-01;7.91683949e-01;8.24214538e-01;8.53265752e-01;8.78900081e-01;9.01201785e-01;9.20293295e-01;9.36350400e-01;9.49611635e-01;9.60375452e-01;9.68981730e-01;9.75782285e-01;9.81111338e-01;9.85265185e-01;9.88493476e-01;9.90999358e-01;9.92944430e-01;9.94455429e-01;9.95630891e-01;9.96547046e-01;9.97262699e-01;9.97823153e-01;9.98263296e-01;9.98610002e-01;9.98883983e-01;9.99101224e-01;9.99274072e-01;9.99412085e-01;9.99522674e-01;9.99611598e-01;9.99683344e-01;9.99741418e-01;9.99788567e-01;9.99826953e-01;9.99858281e-01;9.99883903e-01;9.99904896e-01;9.99922119e-01;9.99936265e-01;9.99947889e-01;9.99957444e-01;9.99965298e-01;9.99971749e-01;9.99977045e-01;9.99981386e-01;9.99984941e-01;9.99987847e-01;9.99990217e-01;9.99992146e-01;9.99993713e-01;9.99994982e-01;9.99996007e-01;9.99996833e-01;9.99997496e-01;9.99998027e-01;9.99998451e-01;9.99998788e-01;9.99999055e-01;9.99999265e-01;9.99999431e-01;9.99999561e-01;9.99999663e-01;9.99999742e-01;9.99999803e-01;9.99999850e-01;9.99999887e-01;9.99999915e-01;9.99999936e-01;9.99999952e-01;9.99999964e-01;9.99999973e-01;9.99999980e-01;9.99999986e-01;9.99999989e-01;9.99999992e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29296012e+00;-7.14792096e-02;1.86389604e-02
1.29298642e-01;2.29255412e-01;3.15610637e-01;3.90600149e-01;4.57641068e-01;5.18552553e-01;5.74369374e-01;6.25711240e-01;6.72960176e-01;7.16354864e-01;7.56045584e-01;7.92129018e-01;8.24672397e-01;8.53732188e-01;8.79370514e-01;9.01671273e-01;9.20756617e-01;9.36802258e-01;9.50047004e-01;9.60789994e-01;9.69372144e-01;9.76146446e-01;9.81448224e-01;9.85574668e-01;9.88776088e-01;9.91256077e-01;9.93176524e-01;9.94664334e-01;9.95818137e-01;9.96714196e-01;9.97411313e-01;9.97954763e-01;9.98379385e-01;9.98711991e-01;9.98973224e-01;9.99178991e-01;9.99341560e-01;9.99470407e-01;9.99572859e-01;9.99654594e-01;9.99720017e-01;9.99772557e-01;9.99814885e-01;9.99849091e-01;9.99876813e-01;9.99899340e-01;9.99917689e-01;9.99932666e-01;9.99944913e-01;9.99954941e-01;9.99963161e-01;9.99969905e-01;9.99975439e-01;9.99979980e-01;9.99983706e-01;9.99986760e-01;9.99989263e-01;9.99991310e-01;9.99992982e-01;9.99994346e-01;9.99995456e-01;9.99996358e-01;9.99997089e-01;9.99997680e-01;9.99998156e-01;9.99998539e-01;9.99998846e-01;9.99999091e-01;9.99999287e-01;9.99999442e-01;9.99999565e-01;9.99999662e-01;9.99999738e-01;9.99999798e-01;9.99999845e-01;9.99999881e-01;9.99999909e-01;9.99999931e-01;9.99999948e-01;9.99999961e-01;9.99999970e-01;9.99999978e-01;9.99999983e-01;9.99999988e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29363623e+00;-7.14433339e-02;1.30552290e-02
1.29347611e-01;2.29343193e-01;3.15732998e-01;3.90753172e-01;4.57821845e-01;5.18758652e-01;5.74598577e-01;6.25961403e-01;6.73229143e-01;7.16640407e-01;7.56345358e-01;7.92440521e-01;8.24992935e-01;8.54058839e-01;8.79700103e-01;9.02000377e-01;9.21081619e-01;9.37119489e-01;9.50352981e-01;9.61081709e-01;9.69647302e-01;9.76403564e-01;9.81686577e-01;9.85794149e-01;9.88977038e-01;9.91439147e-01;9.93342558e-01;9.94814296e-01;9.95953051e-01;9.96835114e-01;9.97519284e-01;9.98050818e-01;9.98464524e-01;9.98787175e-01;9.99039370e-01;9.99236964e-01;9.99392176e-01;9.99514428e-01;9.99610993e-01;9.99687495e-01;9.99748288e-01;9.99796748e-01;9.99835497e-01;9.99866578e-01;9.99891583e-01;9.99911759e-01;9.99928084e-01;9.99941325e-01;9.99952091e-01;9.99960863e-01;9.99968021e-01;9.99973872e-01;9.99978660e-01;9.99982581e-01;9.99985793e-01;9.99988425e-01;9.99990582e-01;9.99992348e-01;9.99993794e-01;9.99994976e-01;9.99995941e-01;9.99996727e-01;9.99997367e-01;9.99997888e-01;9.99998309e-01;9.99998650e-01;9.99998926e-01;9.99999147e-01;9.99999325e-01;9.99999467e-01;9.99999581e-01;9.99999671e-01;9.99999743e-01;9.99999800e-01;9.99999844e-01;9.99999879e-01;9.99999907e-01;9.99999928e-01;9.99999945e-01;9.99999958e-01;9.99999968e-01;9.99999976e-01;9.99999982e-01;9.99999986e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29410910e+00;-7.14182622e-02;9.14933517e-03
1.29381887e-01;2.29404635e-01;3.15818644e-01;3.90860282e-01;4.57948383e-01;5.18902918e-01;5.74759022e-01;6.26136532e-01;6.73417450e-01;7.16840339e-01;7.56555282e-01;7.92658698e-01;8.25217490e-01;8.54287741e-01;8.79931149e-01;9.02231190e-01;9.21309690e-01;9.37342274e-01;9.50568062e-01;9.61286998e-01;9.69841203e-01;9.76585042e-01;9.81855121e-01;9.85949671e-01;9.89119761e-01;9.91569505e-01;9.93461119e-01;9.94921709e-01;9.96050008e-01;9.96922321e-01;9.97597451e-01;9.98120642e-01;9.98526681e-01;9.98842316e-01;9.99088117e-01;9.99279908e-01;9.99429872e-01;9.99547398e-01;9.99639724e-01;9.99712439e-01;9.99769863e-01;9.99815336e-01;9.99851449e-01;9.99880214e-01;9.99903191e-01;9.99921601e-01;9.99936392e-01;9.99948309e-01;9.99957936e-01;9.99965732e-01;9.99972059e-01;9.99977205e-01;9.99981397e-01;9.99984818e-01;9.99987612e-01;9.99989896e-01;9.99991765e-01;9.99993294e-01;9.99994546e-01;9.99995569e-01;9.99996406e-01;9.99997090e-01;9.99997648e-01;9.99998103e-01;9.99998473e-01;9.99998773e-01;9.99999017e-01;9.99999214e-01;9.99999374e-01;9.99999502e-01;9.99999605e-01;9.99999688e-01;9.99999754e-01;9.99999806e-01;9.99999848e-01;9.99999881e-01;9.99999907e-01;9.99999928e-01;9.99999944e-01;9.99999957e-01;9.99999967e-01;9.99999975e-01;9.99999981e-01;9.99999985e-01;9.99999989e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29444008e+00;-7.14007222e-02;6.41580791e-03
1.29405897e-01;2.29447676e-01;3.15878640e-01;3.90935313e-01;4.58037025e-01;5.19003981e-01;5.74871424e-01;6.26259227e-01;6.73549387e-01;7.16980434e-01;7.56702395e-01;7.92811617e-01;8.25374910e-01;8.54448249e-01;8.80093212e-01;9.02393156e-01;9.21469815e-01;9.37498790e-01;9.50719290e-01;9.61431487e-01;9.69977842e-01;9.76713108e-01;9.81974254e-01;9.86059804e-01;9.89221041e-01;9.91662223e-01;9.93545659e-01;9.94998509e-01;9.96119536e-01;9.96985058e-01;9.97653876e-01;9.98171227e-01;9.98571886e-01;9.98882584e-01;9.99123870e-01;9.99311549e-01;9.99457781e-01;9.99571932e-01;9.99661218e-01;9.99731204e-01;9.99786187e-01;9.99829487e-01;9.99863671e-01;9.99890730e-01;9.99912207e-01;9.99929300e-01;9.99942941e-01;9.99953858e-01;9.99962618e-01;9.99969667e-01;9.99975352e-01;9.99979949e-01;9.99983673e-01;9.99986698e-01;9.99989157e-01;9.99991160e-01;9.99992794e-01;9.99994128e-01;9.99995217e-01;9.99996108e-01;9.99996835e-01;9.99997430e-01;9.99997915e-01;9.99998312e-01;9.99998635e-01;9.99998898e-01;9.99999113e-01;9.99999287e-01;9.99999428e-01;9.99999542e-01;9.99999634e-01;9.99999709e-01;9.99999769e-01;9.99999817e-01;9.99999855e-01;9.99999886e-01;9.99999910e-01;9.99999930e-01;9.99999945e-01;9.99999957e-01;9.99999967e-01;9.99999974e-01;9.99999980e-01;9.99999985e-01;9.99999988e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29467194e+00;-7.13884394e-02;4.50164915e-03
1.29422729e-01;2.29477848e-01;3.15920698e-01;3.90987913e-01;4.58099167e-01;5.19074833e-01;5.74950228e-01;6.26345250e-01;6.73641895e-01;7.17078669e-01;7.56805563e-01;7.92918870e-01;8.25485339e-01;8.54560868e-01;8.80206954e-01;9.02506871e-01;9.21582290e-01;9.37608794e-01;9.50825656e-01;9.61533204e-01;9.70074136e-01;9.76803475e-01;9.82058442e-01;9.86137761e-01;9.89292864e-01;9.91728108e-01;9.93605868e-01;9.95053340e-01;9.96169307e-01;9.97030096e-01;9.97694507e-01;9.98207772e-01;9.98604658e-01;9.98911884e-01;9.99149987e-01;9.99334756e-01;9.99478340e-01;9.99590087e-01;9.99677199e-01;9.99745226e-01;9.99798450e-01;9.99840175e-01;9.99872955e-01;9.99898767e-01;9.99919139e-01;9.99935258e-01;9.99948044e-01;9.99958212e-01;9.99966320e-01;9.99972801e-01;9.99977996e-01;9.99982170e-01;9.99985533e-01;9.99988247e-01;9.99990443e-01;9.99992223e-01;9.99993668e-01;9.99994844e-01;9.99995801e-01;9.99996581e-01;9.99997217e-01;9.99997737e-01;9.99998160e-01;9.99998506e-01;9.99998789e-01;9.99999019e-01;9.99999207e-01;9.99999360e-01;9.99999484e-01;9.99999585e-01;9.99999667e-01;9.99999733e-01;9.99999787e-01;9.99999830e-01;9.99999865e-01;9.99999893e-01;9.99999915e-01;9.99999933e-01;9.99999947e-01;9.99999958e-01;9.99999967e-01;9.99999975e-01;9.99999980e-01;9.99999985e-01;9.99999988e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29483448e+00;-7.13798307e-02;3.16041541e-03
