A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 1.00000000e+00
beta = 0.00000000e+00
r_power = 1
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

5.80139913e-03;2.31435110e-02;5.10070906e-02;8.60295598e-02;1.26003875e-01;1.69406816e-01;2.15087974e-01;2.62137188e-01;3.09814371e-01;3.57507918e-01;4.04708265e-01;4.50990199e-01;4.96000505e-01;5.39448947e-01;5.81101363e-01;6.20774062e-01;6.58329030e-01;6.93669610e-01;7.26736439e-01;7.57503543e-01;7.85974523e-01;8.12178817e-01;8.36168056e-01;8.58012535e-01;8.77797844e-01;8.95621678e-01;9.11590876e-01;9.25818706e-01;9.38422418e-01;9.49521072e-01;9.59233651e-01;9.67677450e-01;9.74966731e-01;9.81211637e-01;9.86517333e-01;9.90983365e-01;9.94703209e-01;9.97763984e-01;1.00024632e+00;1.00222434e+00;1.00376573e+00;1.00493195e+00;1.00577842e+00;1.00635485e+00;1.00670552e+00;1.00686964e+00;1.00688174e+00;1.00677199e+00;1.00656659e+00;1.00628812e+00;1.00595588e+00;1.00558625e+00;1.00519294e+00;1.00478737e+00;1.00437886e+00;1.00397497e+00;1.00358165e+00;1.00320349e+00;1.00284395e+00;1.00250546e+00;1.00218963e+00;1.00189737e+00;1.00162902e+00;1.00138445e+00;1.00116314e+00;1.00096431e+00;1.00078695e+00;1.00062988e+00;1.00049181e+00;1.00037141e+00;1.00026728e+00;1.00017806e+00;1.00010238e+00;1.00003892e+00;9.99986430e-01;9.99943704e-01;9.99909618e-01;9.99883123e-01;9.99863253e-01;9.99849120e-01;9.99839917e-01;9.99834916e-01;9.99833463e-01;9.99834976e-01;9.99838944e-01;9.99844916e-01;9.99852503e-01;9.99861370e-01;9.99871229e-01;9.99881842e-01;9.99893007e-01;9.99904562e-01;9.99916374e-01;9.99928338e-01;9.99940375e-01;9.99952422e-01;9.99964436e-01;9.99976384e-01;9.99988244e-01;1.00000000e+00;1.00000000e+00;-1.26888305e+00;-7.46218393e-01;1.14888696e-02
5.80578962e-03;2.31605327e-02;5.10437201e-02;8.60898168e-02;1.26089927e-01;1.69519545e-01;2.15227296e-01;2.62302263e-01;3.10003763e-01;3.57719720e-01;4.04940208e-01;4.51239745e-01;4.96264933e-01;5.39725427e-01;5.81387024e-01;6.21066053e-01;6.58624577e-01;6.93966055e-01;7.27031284e-01;7.57794479e-01;7.86259450e-01;8.12455864e-01;8.36435589e-01;8.58269162e-01;8.78042409e-01;8.95853261e-01;9.11808780e-01;9.26022445e-01;9.38611702e-01;9.49695791e-01;9.59393857e-01;9.67823340e-01;9.75098629e-01;9.81329977e-01;9.86622641e-01;9.91076243e-01;9.94784320e-01;9.97834040e-01;1.00030607e+00;1.00227454e+00;1.00380717e+00;1.00496541e+00;1.00580468e+00;1.00637466e+00;1.00671962e+00;1.00687876e+00;1.00688655e+00;1.00677315e+00;1.00656472e+00;1.00628378e+00;1.00594962e+00;1.00557854e+00;1.00518424e+00;1.00477808e+00;1.00436935e+00;1.00396554e+00;1.00357258e+00;1.00319503e+00;1.00283629e+00;1.00249876e+00;1.00218401e+00;1.00189293e+00;1.00162582e+00;1.00138253e+00;1.00116251e+00;1.00096496e+00;1.00078885e+00;1.00063297e+00;1.00049604e+00;1.00037670e+00;1.00027354e+00;1.00018520e+00;1.00011030e+00;1.00004752e+00;9.99995598e-01;9.99953334e-01;9.99919604e-01;9.99893362e-01;9.99873644e-01;9.99859566e-01;9.99850327e-01;9.99845202e-01;9.99843545e-01;9.99844780e-01;9.99848402e-01;9.99853966e-01;9.99861089e-01;9.99869443e-01;9.99878746e-01;9.99888766e-01;9.99899307e-01;9.99910210e-01;9.99921349e-01;9.99932623e-01;9.99943957e-01;9.99955292e-01;9.99966588e-01;9.99977817e-01;9.99988959e-01;1.00000000e+00;1.00000000e+00;-1.26995007e+00;-7.47236283e-01;8.44806716e-03
5.80897048e-03;2.31728745e-02;5.10702965e-02;8.61335674e-02;1.26152453e-01;1.69601519e-01;2.15328692e-01;2.62422508e-01;3.10141851e-01;3.57874307e-01;4.05109683e-01;4.51422304e-01;4.96458632e-01;5.39928244e-01;5.81596903e-01;6.21280950e-01;6.58842495e-01;6.94185081e-01;7.27249614e-01;7.58010441e-01;7.86471521e-01;8.12662679e-01;8.36635952e-01;8.58462045e-01;8.78226956e-01;8.96028777e-01;9.11974731e-01;9.26178445e-01;9.38757503e-01;9.49831275e-01;9.59519019e-01;9.67938279e-01;9.75203535e-01;9.81425116e-01;9.86708348e-01;9.91152906e-01;9.94852373e-01;9.97893950e-01;1.00035833e+00;1.00231967e+00;1.00384568e+00;1.00499784e+00;1.00583154e+00;1.00639648e+00;1.00673691e+00;1.00689200e+00;1.00689623e+00;1.00677972e+00;1.00656860e+00;1.00628539e+00;1.00594933e+00;1.00557670e+00;1.00518119e+00;1.00477411e+00;1.00436474e+00;1.00396053e+00;1.00356739e+00;1.00318986e+00;1.00283129e+00;1.00249408e+00;1.00217978e+00;1.00188924e+00;1.00162275e+00;1.00138013e+00;1.00116083e+00;1.00096402e+00;1.00078865e+00;1.00063352e+00;1.00049732e+00;1.00037868e+00;1.00027620e+00;1.00018848e+00;1.00011416e+00;1.00005190e+00;1.00000045e+00;9.99958585e-01;9.99925195e-01;9.99899228e-01;9.99879721e-01;9.99865790e-01;9.99856635e-01;9.99851534e-01;9.99849841e-01;9.99850985e-01;9.99854461e-01;9.99859831e-01;9.99866713e-01;9.99874783e-01;9.99883765e-01;9.99893427e-01;9.99903579e-01;9.99914067e-01;9.99924767e-01;9.99935583e-01;9.99946442e-01;9.99957290e-01;9.99968091e-01;9.99978820e-01;9.99989459e-01;1.00000000e+00;1.00000000e+00;-1.27072101e+00;-7.47964833e-01;6.27125358e-03
5.81130605e-03;2.31819418e-02;5.10898315e-02;8.61657434e-02;1.26198462e-01;1.69661874e-01;2.15403391e-01;2.62511151e-01;3.10243720e-01;3.57988432e-01;4.05234903e-01;4.51557309e-01;4.96602014e-01;5.40078532e-01;5.81752600e-01;6.21440566e-01;6.59004575e-01;6.94348227e-01;7.27412505e-01;7.58171851e-01;7.86630331e-01;8.12817885e-01;8.36786668e-01;8.58607510e-01;8.78366529e-01;8.96161937e-01;9.12101068e-01;9.26297660e-01;9.38869398e-01;9.49935740e-01;9.59616030e-01;9.68027886e-01;9.75285852e-01;9.81500316e-01;9.86776650e-01;9.91214571e-01;9.94907693e-01;9.97943245e-01;1.00040193e+00;1.00235794e+00;1.00387898e+00;1.00502652e+00;1.00585598e+00;1.00641703e+00;1.00675392e+00;1.00690583e+00;1.00690721e+00;1.00678816e+00;1.00657481e+00;1.00628967e+00;1.00595194e+00;1.00557791e+00;1.00518123e+00;1.00477320e+00;1.00436309e+00;1.00395832e+00;1.00356479e+00;1.00318700e+00;1.00282833e+00;1.00249112e+00;1.00217693e+00;1.00188658e+00;1.00162035e+00;1.00137806e+00;1.00115913e+00;1.00096272e+00;1.00078778e+00;1.00063310e+00;1.00049734e+00;1.00037915e+00;1.00027710e+00;1.00018980e+00;1.00011587e+00;1.00005398e+00;1.00000286e+00;9.99961304e-01;9.99928181e-01;9.99902443e-01;9.99883125e-01;9.99869343e-01;9.99860296e-01;9.99855262e-01;9.99853598e-01;9.99854731e-01;9.99858159e-01;9.99863444e-01;9.99870209e-01;9.99878129e-01;9.99886931e-01;9.99896387e-01;9.99906308e-01;9.99916543e-01;9.99926971e-01;9.99937498e-01;9.99948055e-01;9.99958591e-01;9.99969072e-01;9.99979474e-01;9.99989786e-01;1.00000000e+00;1.00000000e+00;-1.27128595e+00;-7.48494954e-01;4.68707003e-03
5.81303753e-03;2.31886667e-02;5.11043253e-02;8.61896254e-02;1.26232626e-01;1.69706709e-01;2.15458907e-01;2.62577061e-01;3.10319503e-01;3.58073380e-01;4.05328164e-01;4.51657924e-01;4.96708947e-01;5.40190702e-01;5.81868905e-01;6.21559909e-01;6.59125880e-01;6.94470462e-01;7.27534696e-01;7.58293089e-01;7.86749787e-01;8.12934812e-01;8.36900409e-01;8.58717496e-01;8.78472279e-01;8.96263058e-01;9.12197251e-01;9.26388674e-01;9.38955085e-01;9.50016009e-01;9.59690852e-01;9.68097286e-01;9.75349903e-01;9.81559132e-01;9.86830381e-01;9.91263395e-01;9.94951814e-01;9.97982885e-01;1.00043733e+00;1.00238933e+00;1.00390663e+00;1.00505069e+00;1.00587692e+00;1.00643500e+00;1.00676917e+00;1.00691861e+00;1.00691774e+00;1.00679669e+00;1.00658155e+00;1.00629483e+00;1.00595572e+00;1.00558050e+00;1.00518280e+00;1.00477391e+00;1.00436309e+00;1.00395775e+00;1.00356377e+00;1.00318566e+00;1.00282675e+00;1.00248941e+00;1.00217516e+00;1.00188483e+00;1.00161867e+00;1.00137650e+00;1.00115774e+00;1.00096154e+00;1.00078683e+00;1.00063239e+00;1.00049689e+00;1.00037896e+00;1.00027718e+00;1.00019015e+00;1.00011647e+00;1.00005483e+00;1.00000394e+00;9.99962598e-01;9.99929667e-01;9.99904100e-01;9.99884929e-01;9.99871270e-01;9.99862320e-01;9.99857357e-01;9.99855738e-01;9.99856891e-01;9.99860315e-01;9.99865572e-01;9.99872284e-01;9.99880130e-01;9.99888838e-01;9.99898180e-01;9.99907970e-01;9.99918057e-01;9.99928324e-01;9.99938678e-01;9.99949052e-01;9.99959397e-01;9.99969680e-01;9.99979881e-01;9.99989990e-01;1.00000000e+00;1.00000000e+00;-1.27170414e+00;-7.48885303e-01;3.52087122e-03
5.81433013e-03;2.31936887e-02;5.11151518e-02;8.62074699e-02;1.26258160e-01;1.69740229e-01;2.15500427e-01;2.62626373e-01;3.10376223e-01;3.58136987e-01;4.05398027e-01;4.51733332e-01;4.96789133e-01;5.40274863e-01;5.81956224e-01;6.21649568e-01;6.59217082e-01;6.94562439e-01;7.27626720e-01;7.58384485e-01;7.86839935e-01;8.13023156e-01;8.36986456e-01;8.58800819e-01;8.78552518e-01;8.96339915e-01;9.12270493e-01;9.26458122e-01;9.39020617e-01;9.50077553e-01;9.59748380e-01;9.68150809e-01;9.75399469e-01;9.81604820e-01;9.86872294e-01;9.91301661e-01;9.94986575e-01;9.98014300e-01;1.00046557e+00;1.00241457e+00;1.00392905e+00;1.00507048e+00;1.00589426e+00;1.00645007e+00;1.00678216e+00;1.00692969e+00;1.00692710e+00;1.00680447e+00;1.00658793e+00;1.00629995e+00;1.00595973e+00;1.00558353e+00;1.00518498e+00;1.00477537e+00;1.00436392e+00;1.00395807e+00;1.00356367e+00;1.00318522e+00;1.00282605e+00;1.00248852e+00;1.00217415e+00;1.00188374e+00;1.00161757e+00;1.00137541e+00;1.00115671e+00;1.00096059e+00;1.00078599e+00;1.00063168e+00;1.00049633e+00;1.00037855e+00;1.00027693e+00;1.00019005e+00;1.00011654e+00;1.00005506e+00;1.00000432e+00;9.99963116e-01;9.99930318e-01;9.99904871e-01;9.99885807e-01;9.99872239e-01;9.99863366e-01;9.99858465e-01;9.99856891e-01;9.99858073e-01;9.99861510e-01;9.99866764e-01;9.99873459e-01;9.99881273e-01;9.99889935e-01;9.99899218e-01;9.99908937e-01;9.99918943e-01;9.99929119e-01;9.99939374e-01;9.99949642e-01;9.99959874e-01;9.99970041e-01;9.99980123e-01;9.99990111e-01;1.00000000e+00;1.00000000e+00;-1.27201599e+00;-7.49175224e-01;2.65611975e-03
5.81530002e-03;2.31974578e-02;5.11232790e-02;8.62208684e-02;1.26277337e-01;1.69765410e-01;2.15531625e-01;2.62663436e-01;3.10418867e-01;3.58184822e-01;4.05450585e-01;4.51790082e-01;4.96849503e-01;5.40338253e-01;5.82022023e-01;6.21717167e-01;6.59285882e-01;6.94631866e-01;7.27696230e-01;7.58453572e-01;7.86908134e-01;8.13090049e-01;8.37051673e-01;8.58864039e-01;8.78613469e-01;8.96398373e-01;9.12326279e-01;9.26511103e-01;9.39070697e-01;9.50124674e-01;9.59792518e-01;9.68191970e-01;9.75437686e-01;9.81640146e-01;9.86904804e-01;9.91331446e-01;9.95013739e-01;9.98038957e-01;1.00048784e+00;1.00243459e+00;1.00394694e+00;1.00508638e+00;1.00590830e+00;1.00646240e+00;1.00679290e+00;1.00693896e+00;1.00693503e+00;1.00681120e+00;1.00659356e+00;1.00630459e+00;1.00596349e+00;1.00558651e+00;1.00518728e+00;1.00477706e+00;1.00436510e+00;1.00395881e+00;1.00356404e+00;1.00318528e+00;1.00282587e+00;1.00248815e+00;1.00217362e+00;1.00188311e+00;1.00161687e+00;1.00137469e+00;1.00115598e+00;1.00095988e+00;1.00078532e+00;1.00063107e+00;1.00049579e+00;1.00037810e+00;1.00027657e+00;1.00018979e+00;1.00011637e+00;1.00005499e+00;1.00000434e+00;9.99963233e-01;9.99930523e-01;9.99905157e-01;9.99886167e-01;9.99872666e-01;9.99863850e-01;9.99858998e-01;9.99857462e-01;9.99858673e-01;9.99862129e-01;9.99867392e-01;9.99874086e-01;9.99881890e-01;9.99890533e-01;9.99899788e-01;9.99909473e-01;9.99919437e-01;9.99929564e-01;9.99939766e-01;9.99949974e-01;9.99960145e-01;9.99970246e-01;9.99980260e-01;9.99990179e-01;1.00000000e+00;1.00000000e+00;-1.27224978e+00;-7.49391920e-01;2.00883457e-03
5.81603053e-03;2.32002972e-02;5.11294025e-02;8.62309653e-02;1.26291791e-01;1.69784393e-01;2.15555148e-01;2.62691387e-01;3.10451033e-01;3.58220914e-01;4.05490250e-01;4.51832924e-01;4.96895091e-01;5.40386138e-01;5.82071746e-01;6.21768268e-01;6.59337915e-01;6.94684398e-01;7.27748852e-01;7.58505902e-01;7.86959824e-01;8.13140783e-01;8.37101173e-01;8.58912063e-01;8.78659811e-01;8.96442864e-01;9.12368783e-01;9.26551517e-01;9.39108949e-01;9.50160719e-01;9.59826336e-01;9.68223563e-01;9.75467076e-01;9.81667373e-01;9.86929922e-01;9.91354519e-01;9.95034844e-01;9.98058177e-01;1.00050527e+00;1.00245031e+00;1.00396107e+00;1.00509899e+00;1.00591951e+00;1.00647230e+00;1.00680159e+00;1.00694654e+00;1.00694159e+00;1.00681682e+00;1.00659833e+00;1.00630859e+00;1.00596680e+00;1.00558921e+00;1.00518943e+00;1.00477873e+00;1.00436635e+00;1.00395970e+00;1.00356462e+00;1.00318560e+00;1.00282597e+00;1.00248807e+00;1.00217340e+00;1.00188278e+00;1.00161646e+00;1.00137422e+00;1.00115548e+00;1.00095937e+00;1.00078482e+00;1.00063059e+00;1.00049534e+00;1.00037769e+00;1.00027620e+00;1.00018948e+00;1.00011612e+00;1.00005479e+00;1.00000421e+00;9.99963158e-01;9.99930505e-01;9.99905194e-01;9.99886254e-01;9.99872800e-01;9.99864026e-01;9.99859209e-01;9.99857704e-01;9.99858940e-01;9.99862414e-01;9.99867690e-01;9.99874391e-01;9.99882196e-01;9.99890834e-01;9.99900080e-01;9.99909750e-01;9.99919695e-01;9.99929799e-01;9.99939973e-01;9.99950151e-01;9.99960289e-01;9.99970356e-01;9.99980334e-01;9.99990216e-01;1.00000000e+00;1.00000000e+00;-1.27242575e+00;-7.49554648e-01;1.52221306e-03
5.81658231e-03;2.32024422e-02;5.11340291e-02;8.62385949e-02;1.26302715e-01;1.69798741e-01;2.15572931e-01;2.62712520e-01;3.10475358e-01;3.58248212e-01;4.05520257e-01;4.51865340e-01;4.96929594e-01;5.40422388e-01;5.82109398e-01;6.21806977e-01;6.59377342e-01;6.94724217e-01;7.27788755e-01;7.58545602e-01;7.86999057e-01;8.13179312e-01;8.37138786e-01;8.58948577e-01;8.78695071e-01;8.96476742e-01;9.12401176e-01;9.26582347e-01;9.39138159e-01;9.50188274e-01;9.59852221e-01;9.68247779e-01;9.75489638e-01;9.81688310e-01;9.86949272e-01;9.91372332e-01;9.95051175e-01;9.98073088e-01;1.00051882e+00;1.00246259e+00;1.00397213e+00;1.00510891e+00;1.00592837e+00;1.00648016e+00;1.00680853e+00;1.00695262e+00;1.00694689e+00;1.00682140e+00;1.00660226e+00;1.00631193e+00;1.00596961e+00;1.00559154e+00;1.00519132e+00;1.00478025e+00;1.00436754e+00;1.00396059e+00;1.00356525e+00;1.00318602e+00;1.00282620e+00;1.00248815e+00;1.00217336e+00;1.00188264e+00;1.00161624e+00;1.00137394e+00;1.00115515e+00;1.00095902e+00;1.00078445e+00;1.00063022e+00;1.00049498e+00;1.00037734e+00;1.00027588e+00;1.00018918e+00;1.00011586e+00;1.00005457e+00;1.00000402e+00;9.99963004e-01;9.99930388e-01;9.99905113e-01;9.99886208e-01;9.99872785e-01;9.99864041e-01;9.99859251e-01;9.99857769e-01;9.99859025e-01;9.99862516e-01;9.99867805e-01;9.99874515e-01;9.99882326e-01;9.99890967e-01;9.99900212e-01;9.99909877e-01;9.99919815e-01;9.99929910e-01;9.99940072e-01;9.99950237e-01;9.99960359e-01;9.99970410e-01;9.99980371e-01;9.99990235e-01;1.00000000e+00;1.00000000e+00;-1.27255860e+00;-7.49677278e-01;1.15517841e-03
5.81700000e-03;2.32040661e-02;5.11375320e-02;8.62443721e-02;1.26310987e-01;1.69809608e-01;2.15586401e-01;2.62728530e-01;3.10493788e-01;3.58268898e-01;4.05542999e-01;4.51889913e-01;4.96955753e-01;5.40449877e-01;5.82137956e-01;6.21836344e-01;6.59407262e-01;6.94754443e-01;7.27819055e-01;7.58575758e-01;7.87028869e-01;8.13208600e-01;8.37167392e-01;8.58976361e-01;8.78721916e-01;8.96502550e-01;9.12425869e-01;9.26605865e-01;9.39160460e-01;9.50209331e-01;9.59872022e-01;9.68266323e-01;9.75506936e-01;9.81704383e-01;9.86964150e-01;9.91386050e-01;9.95063774e-01;9.98084615e-01;1.00052933e+00;1.00247212e+00;1.00398074e+00;1.00511666e+00;1.00593531e+00;1.00648634e+00;1.00681401e+00;1.00695746e+00;1.00695113e+00;1.00682509e+00;1.00660545e+00;1.00631466e+00;1.00597193e+00;1.00559348e+00;1.00519293e+00;1.00478156e+00;1.00436858e+00;1.00396140e+00;1.00356587e+00;1.00318645e+00;1.00282649e+00;1.00248830e+00;1.00217340e+00;1.00188260e+00;1.00161612e+00;1.00137377e+00;1.00115494e+00;1.00095878e+00;1.00078419e+00;1.00062994e+00;1.00049470e+00;1.00037707e+00;1.00027561e+00;1.00018893e+00;1.00011562e+00;1.00005435e+00;1.00000382e+00;9.99962832e-01;9.99930238e-01;9.99904986e-01;9.99886104e-01;9.99872704e-01;9.99863980e-01;9.99859210e-01;9.99857746e-01;9.99859018e-01;9.99862522e-01;9.99867823e-01;9.99874543e-01;9.99882361e-01;9.99891007e-01;9.99900255e-01;9.99909922e-01;9.99919860e-01;9.99929953e-01;9.99940112e-01;9.99950272e-01;9.99960388e-01;9.99970432e-01;9.99980386e-01;9.99990242e-01;1.00000000e+00;1.00000000e+00;-1.27265913e+00;-7.49769939e-01;8.77652647e-04
5.81731672e-03;2.32052976e-02;5.11401885e-02;8.62487538e-02;1.26317261e-01;1.69817851e-01;2.15596619e-01;2.62740677e-01;3.10507772e-01;3.58284595e-01;4.05560259e-01;4.51908565e-01;4.96975612e-01;5.40470750e-01;5.82159645e-01;6.21858651e-01;6.59429993e-01;6.94777413e-01;7.27842086e-01;7.58598685e-01;7.87051542e-01;8.13230883e-01;8.37189162e-01;8.58997515e-01;8.78742364e-01;8.96522217e-01;9.12444697e-01;9.26623807e-01;9.39177484e-01;9.50225418e-01;9.59887160e-01;9.68280513e-01;9.75520186e-01;9.81716707e-01;9.86975571e-01;9.91396593e-01;9.95073472e-01;9.98093501e-01;1.00053744e+00;1.00247949e+00;1.00398742e+00;1.00512269e+00;1.00594072e+00;1.00649118e+00;1.00681831e+00;1.00696127e+00;1.00695448e+00;1.00682802e+00;1.00660799e+00;1.00631686e+00;1.00597380e+00;1.00559507e+00;1.00519426e+00;1.00478266e+00;1.00436947e+00;1.00396211e+00;1.00356641e+00;1.00318686e+00;1.00282677e+00;1.00248848e+00;1.00217349e+00;1.00188261e+00;1.00161608e+00;1.00137367e+00;1.00115481e+00;1.00095861e+00;1.00078400e+00;1.00062974e+00;1.00049449e+00;1.00037685e+00;1.00027540e+00;1.00018872e+00;1.00011542e+00;1.00005416e+00;1.00000365e+00;9.99962668e-01;9.99930089e-01;9.99904853e-01;9.99885986e-01;9.99872600e-01;9.99863892e-01;9.99859135e-01;9.99857685e-01;9.99858968e-01;9.99862484e-01;9.99867794e-01;9.99874523e-01;9.99882349e-01;9.99891001e-01;9.99900254e-01;9.99909925e-01;9.99919865e-01;9.99929959e-01;9.99940119e-01;9.99950279e-01;9.99960395e-01;9.99970437e-01;9.99980390e-01;9.99990244e-01;1.00000000e+00;1.00000000e+00;-1.27273533e+00;-7.49840099e-01;6.67404808e-04
5.81755718e-03;2.32062326e-02;5.11422058e-02;8.62520812e-02;1.26322027e-01;1.69824111e-01;2.15604381e-01;2.62749904e-01;3.10518396e-01;3.58296522e-01;4.05573374e-01;4.51922739e-01;4.96990705e-01;5.40486615e-01;5.82176132e-01;6.21875610e-01;6.59447278e-01;6.94794882e-01;7.27859605e-01;7.58616130e-01;7.87068797e-01;8.13247845e-01;8.37205740e-01;8.59013628e-01;8.78757944e-01;8.96537209e-01;9.12459055e-01;9.26637497e-01;9.39190480e-01;9.50237705e-01;9.59898729e-01;9.68291365e-01;9.75530327e-01;9.81726148e-01;9.86984327e-01;9.91404686e-01;9.95080924e-01;9.98100338e-01;1.00054369e+00;1.00248519e+00;1.00399258e+00;1.00512735e+00;1.00594492e+00;1.00649494e+00;1.00682167e+00;1.00696425e+00;1.00695711e+00;1.00683033e+00;1.00661001e+00;1.00631860e+00;1.00597531e+00;1.00559635e+00;1.00519534e+00;1.00478356e+00;1.00437021e+00;1.00396271e+00;1.00356688e+00;1.00318722e+00;1.00282704e+00;1.00248866e+00;1.00217360e+00;1.00188266e+00;1.00161607e+00;1.00137362e+00;1.00115472e+00;1.00095850e+00;1.00078387e+00;1.00062959e+00;1.00049433e+00;1.00037669e+00;1.00027524e+00;1.00018856e+00;1.00011526e+00;1.00005400e+00;1.00000349e+00;9.99962526e-01;9.99929956e-01;9.99904729e-01;9.99885872e-01;9.99872497e-01;9.99863799e-01;9.99859052e-01;9.99857612e-01;9.99858905e-01;9.99862429e-01;9.99867747e-01;9.99874483e-01;9.99882315e-01;9.99890973e-01;9.99900232e-01;9.99909907e-01;9.99919851e-01;9.99929949e-01;9.99940111e-01;9.99950273e-01;9.99960391e-01;9.99970435e-01;9.99980388e-01;9.99990243e-01;1.00000000e+00;1.00000000e+00;-1.27279317e+00;-7.49893306e-01;5.07887529e-04
5.81773994e-03;2.32069433e-02;5.11437391e-02;8.62546105e-02;1.26325649e-01;1.69828871e-01;2.15610282e-01;2.62756919e-01;3.10526474e-01;3.58305591e-01;4.05583348e-01;4.51933519e-01;4.97002185e-01;5.40498684e-01;5.82188675e-01;6.21888514e-01;6.59460432e-01;6.94808178e-01;7.27872941e-01;7.58629412e-01;7.87081937e-01;8.13260764e-01;8.37218369e-01;8.59025907e-01;8.78769820e-01;8.96548640e-01;9.12470006e-01;9.26647942e-01;9.39200400e-01;9.50247088e-01;9.59907569e-01;9.68299661e-01;9.75538084e-01;9.81733375e-01;9.86991036e-01;9.91410891e-01;9.95086643e-01;9.98105591e-01;1.00054849e+00;1.00248957e+00;1.00399656e+00;1.00513096e+00;1.00594816e+00;1.00649786e+00;1.00682428e+00;1.00696657e+00;1.00695916e+00;1.00683214e+00;1.00661159e+00;1.00631998e+00;1.00597650e+00;1.00559737e+00;1.00519621e+00;1.00478429e+00;1.00437082e+00;1.00396320e+00;1.00356728e+00;1.00318753e+00;1.00282727e+00;1.00248883e+00;1.00217371e+00;1.00188272e+00;1.00161609e+00;1.00137360e+00;1.00115467e+00;1.00095843e+00;1.00078378e+00;1.00062949e+00;1.00049422e+00;1.00037657e+00;1.00027511e+00;1.00018843e+00;1.00011513e+00;1.00005387e+00;1.00000337e+00;9.99962407e-01;9.99929843e-01;9.99904623e-01;9.99885773e-01;9.99872405e-01;9.99863713e-01;9.99858974e-01;9.99857541e-01;9.99858841e-01;9.99862371e-01;9.99867696e-01;9.99874438e-01;9.99882276e-01;9.99890939e-01;9.99900202e-01;9.99909882e-01;9.99919830e-01;9.99929931e-01;9.99940096e-01;9.99950262e-01;9.99960382e-01;9.99970428e-01;9.99980384e-01;9.99990241e-01;1.00000000e+00;1.00000000e+00;-1.27283713e+00;-7.49933709e-01;3.86718140e-04
5.81787896e-03;2.32074839e-02;5.11449055e-02;8.62565347e-02;1.26328405e-01;1.69832492e-01;2.15614772e-01;2.62762257e-01;3.10532621e-01;3.58312492e-01;4.05590938e-01;4.51941724e-01;4.97010922e-01;5.40507870e-01;5.82198223e-01;6.21898339e-01;6.59470447e-01;6.94818303e-01;7.27883098e-01;7.58639528e-01;7.87091947e-01;8.13270608e-01;8.37227994e-01;8.59035266e-01;8.78778875e-01;8.96557357e-01;9.12478359e-01;9.26655912e-01;9.39207973e-01;9.50254252e-01;9.59914322e-01;9.68306002e-01;9.75544015e-01;9.81738904e-01;9.86996171e-01;9.91415644e-01;9.95091027e-01;9.98109621e-01;1.00055219e+00;1.00249294e+00;1.00399963e+00;1.00513373e+00;1.00595067e+00;1.00650011e+00;1.00682629e+00;1.00696836e+00;1.00696076e+00;1.00683355e+00;1.00661283e+00;1.00632106e+00;1.00597743e+00;1.00559818e+00;1.00519690e+00;1.00478487e+00;1.00437130e+00;1.00396360e+00;1.00356760e+00;1.00318778e+00;1.00282746e+00;1.00248897e+00;1.00217380e+00;1.00188277e+00;1.00161611e+00;1.00137360e+00;1.00115465e+00;1.00095838e+00;1.00078372e+00;1.00062941e+00;1.00049413e+00;1.00037647e+00;1.00027501e+00;1.00018833e+00;1.00011503e+00;1.00005377e+00;1.00000327e+00;9.99962312e-01;9.99929751e-01;9.99904534e-01;9.99885689e-01;9.99872326e-01;9.99863640e-01;9.99858906e-01;9.99857477e-01;9.99858783e-01;9.99862319e-01;9.99867648e-01;9.99874395e-01;9.99882237e-01;9.99890905e-01;9.99900172e-01;9.99909856e-01;9.99919807e-01;9.99929912e-01;9.99940080e-01;9.99950249e-01;9.99960372e-01;9.99970421e-01;9.99980379e-01;9.99990239e-01;1.00000000e+00;1.00000000e+00;-1.27287055e+00;-7.49964418e-01;2.94592137e-04
