A search for the stationary solution
---

15 parameters:
eps_0 = 2.00000000e-01
delta = 4.00000000e-02
l = 1.00000000e+00
Gamma = 1.00000000e+00
m = 5.00000000e-01
Phi_gradient = 0.00000000e+00
alpha = 0.00000000e+00
beta = 1.00000000e+00
r_power = 2
x_grid = 100
x_skip = 1
t_grid = 8192000
t_skip = 81920
width = 5.00000000e+00
duration = 6.00000000e+00
+

4.23170816e-01;5.47177464e-01;6.38063082e-01;7.06420474e-01;7.60551382e-01;8.04486408e-01;8.40467111e-01;8.69900414e-01;8.93789527e-01;9.12957357e-01;9.28162831e-01;9.40138358e-01;9.49568886e-01;9.57050803e-01;9.63066717e-01;9.67985886e-01;9.72080830e-01;9.75548589e-01;9.78530249e-01;9.81126583e-01;9.83409810e-01;9.85432139e-01;9.87231867e-01;9.88837687e-01;9.90271711e-01;9.91551555e-01;9.92691792e-01;9.93704926e-01;9.94602046e-01;9.95393249e-01;9.96087911e-01;9.96694842e-01;9.97222372e-01;9.97678390e-01;9.98070353e-01;9.98405282e-01;9.98689749e-01;9.98929860e-01;9.99131249e-01;9.99299073e-01;9.99438006e-01;9.99552255e-01;9.99645570e-01;9.99721262e-01;9.99782234e-01;9.99831002e-01;9.99869732e-01;9.99900269e-01;9.99924172e-01;9.99942745e-01;9.99957072e-01;9.99968039e-01;9.99976374e-01;9.99982659e-01;9.99987364e-01;9.99990859e-01;9.99993435e-01;9.99995319e-01;9.99996687e-01;9.99997673e-01;9.99998377e-01;9.99998877e-01;9.99999228e-01;9.99999474e-01;9.99999644e-01;9.99999761e-01;9.99999840e-01;9.99999894e-01;9.99999931e-01;9.99999955e-01;9.99999971e-01;9.99999981e-01;9.99999988e-01;9.99999992e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.28234399e+00;-5.35144897e-02;4.07363422e-01
4.27714202e-01;5.53087124e-01;6.45017923e-01;7.14197137e-01;7.69002230e-01;8.13492959e-01;8.49918019e-01;8.79678366e-01;9.03762887e-01;9.22977637e-01;9.38071149e-01;9.49780810e-01;9.58813545e-01;9.65797573e-01;9.71248120e-01;9.75562571e-01;9.79035704e-01;9.81881511e-01;9.84253745e-01;9.86262528e-01;9.87986832e-01;9.89483582e-01;9.90794154e-01;9.91949005e-01;9.92970933e-01;9.93877378e-01;9.94682040e-01;9.95396005e-01;9.96028524e-01;9.96587552e-01;9.97080110e-01;9.97512529e-01;9.97890606e-01;9.98219701e-01;9.98504804e-01;9.98750561e-01;9.98961301e-01;9.99141041e-01;9.99293490e-01;9.99422059e-01;9.99529859e-01;9.99619710e-01;9.99694151e-01;9.99755448e-01;9.99805610e-01;9.99846402e-01;9.99879364e-01;9.99905828e-01;9.99926938e-01;9.99943667e-01;9.99956837e-01;9.99967136e-01;9.99975137e-01;9.99981310e-01;9.99986040e-01;9.99989641e-01;9.99992363e-01;9.99994407e-01;9.99995931e-01;9.99997059e-01;9.99997888e-01;9.99998494e-01;9.99998933e-01;9.99999249e-01;9.99999475e-01;9.99999636e-01;9.99999749e-01;9.99999828e-01;9.99999883e-01;9.99999921e-01;9.99999947e-01;9.99999965e-01;9.99999977e-01;9.99999985e-01;9.99999990e-01;9.99999993e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.29598757e+00;-5.29895912e-02;2.69676634e-01
4.30696055e-01;5.56965491e-01;6.49582022e-01;7.19300661e-01;7.74549016e-01;8.19406576e-01;8.56127469e-01;8.86109518e-01;9.10332766e-01;9.29592074e-01;9.44628092e-01;9.56179950e-01;9.64967835e-01;9.71640327e-01;9.76733839e-01;9.80664012e-01;9.83739986e-01;9.86186632e-01;9.88165840e-01;9.89793767e-01;9.91153815e-01;9.92306074e-01;9.93294080e-01;9.94149629e-01;9.94896186e-01;9.95551311e-01;9.96128372e-01;9.96637763e-01;9.97087762e-01;9.97485136e-01;9.97835562e-01;9.98143927e-01;9.98414525e-01;9.98651198e-01;9.98857428e-01;9.99036399e-01;9.99191036e-01;9.99324033e-01;9.99437869e-01;9.99534821e-01;9.99616969e-01;9.99686209e-01;9.99744257e-01;9.99792656e-01;9.99832785e-01;9.99865871e-01;9.99892994e-01;9.99915100e-01;9.99933013e-01;9.99947442e-01;9.99958996e-01;9.99968192e-01;9.99975467e-01;9.99981187e-01;9.99985658e-01;9.99989130e-01;9.99991810e-01;9.99993866e-01;9.99995433e-01;9.99996621e-01;9.99997514e-01;9.99998182e-01;9.99998679e-01;9.99999046e-01;9.99999315e-01;9.99999511e-01;9.99999653e-01;9.99999756e-01;9.99999829e-01;9.99999881e-01;9.99999918e-01;9.99999943e-01;9.99999961e-01;9.99999974e-01;9.99999982e-01;9.99999988e-01;9.99999992e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.30494257e+00;-5.26507637e-02;1.77546001e-01
4.32647828e-01;5.59504003e-01;6.52569298e-01;7.22641078e-01;7.78179986e-01;8.23278713e-01;8.60195305e-01;8.90325958e-01;9.14645286e-01;9.33940918e-01;9.48948018e-01;9.60406210e-01;9.69043754e-01;9.75522154e-01;9.80391412e-01;9.84078855e-01;9.86902772e-01;9.89094935e-01;9.90822392e-01;9.92205147e-01;9.93329460e-01;9.94257513e-01;9.95034320e-01;9.95692657e-01;9.96256555e-01;9.96743799e-01;9.97167694e-01;9.97538341e-01;9.97863535e-01;9.98149412e-01;9.98400908e-01;9.98622086e-01;9.98816368e-01;9.98986696e-01;9.99135646e-01;9.99265509e-01;9.99378343e-01;9.99476014e-01;9.99560218e-01;9.99632503e-01;9.99694280e-01;9.99746834e-01;9.99791328e-01;9.99828815e-01;9.99860242e-01;9.99886454e-01;9.99908205e-01;9.99926159e-01;9.99940901e-01;9.99952940e-01;9.99962719e-01;9.99970620e-01;9.99976967e-01;9.99982038e-01;9.99986067e-01;9.99989250e-01;9.99991750e-01;9.99993703e-01;9.99995220e-01;9.99996392e-01;9.99997291e-01;9.99997977e-01;9.99998498e-01;9.99998891e-01;9.99999186e-01;9.99999405e-01;9.99999568e-01;9.99999688e-01;9.99999776e-01;9.99999840e-01;9.99999887e-01;9.99999920e-01;9.99999944e-01;9.99999961e-01;9.99999973e-01;9.99999981e-01;9.99999987e-01;9.99999991e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.31080434e+00;-5.24313258e-02;1.16602275e-01
4.33924576e-01;5.61164534e-01;6.54523358e-01;7.24826195e-01;7.80555399e-01;8.25812441e-01;8.62858119e-01;8.93087788e-01;9.17472727e-01;9.36795961e-01;9.51788983e-01;9.63191476e-01;9.71736663e-01;9.78094229e-01;9.82822839e-01;9.86357262e-01;9.89021585e-01;9.91051937e-01;9.92618619e-01;9.93844071e-01;9.94816384e-01;9.95599100e-01;9.96238229e-01;9.96767235e-01;9.97210591e-01;9.97586308e-01;9.97907746e-01;9.98184905e-01;9.98425362e-01;9.98634931e-01;9.98818152e-01;9.98978631e-01;9.99119291e-01;9.99242548e-01;9.99350443e-01;9.99444725e-01;9.99526924e-01;9.99598390e-01;9.99660329e-01;9.99713825e-01;9.99759857e-01;9.99799310e-01;9.99832985e-01;9.99861603e-01;9.99885817e-01;9.99906212e-01;9.99923309e-01;9.99937576e-01;9.99949422e-01;9.99959211e-01;9.99967261e-01;9.99973846e-01;9.99979207e-01;9.99983549e-01;9.99987048e-01;9.99989853e-01;9.99992089e-01;9.99993864e-01;9.99995264e-01;9.99996363e-01;9.99997221e-01;9.99997887e-01;9.99998402e-01;9.99998798e-01;9.99999100e-01;9.99999330e-01;9.99999504e-01;9.99999634e-01;9.99999732e-01;9.99999804e-01;9.99999858e-01;9.99999898e-01;9.99999927e-01;9.99999948e-01;9.99999963e-01;9.99999974e-01;9.99999981e-01;9.99999987e-01;9.99999991e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.31463891e+00;-5.22887441e-02;7.65391922e-02
4.34760348e-01;5.62251523e-01;6.55802488e-01;7.26256614e-01;7.82110522e-01;8.27471504e-01;8.64602258e-01;8.94897714e-01;9.19327099e-01;9.38670515e-01;9.53657056e-01;9.65026332e-01;9.73514645e-01;9.79796868e-01;9.84437180e-01;9.87875081e-01;9.90438332e-01;9.92365814e-01;9.93829875e-01;9.94954498e-01;9.95828939e-01;9.96517619e-01;9.97067204e-01;9.97511633e-01;9.97875700e-01;9.98177612e-01;9.98430810e-01;9.98645287e-01;9.98828529e-01;9.98986198e-01;9.99122628e-01;9.99241174e-01;9.99344481e-01;9.99434663e-01;9.99513445e-01;9.99582255e-01;9.99642301e-01;9.99694618e-01;9.99740105e-01;9.99779555e-01;9.99813669e-01;9.99843075e-01;9.99868335e-01;9.99889954e-01;9.99908386e-01;9.99924037e-01;9.99937272e-01;9.99948417e-01;9.99957760e-01;9.99965559e-01;9.99972040e-01;9.99977400e-01;9.99981813e-01;9.99985430e-01;9.99988380e-01;9.99990774e-01;9.99992709e-01;9.99994264e-01;9.99995509e-01;9.99996499e-01;9.99997284e-01;9.99997903e-01;9.99998389e-01;9.99998768e-01;9.99999062e-01;9.99999289e-01;9.99999464e-01;9.99999598e-01;9.99999700e-01;9.99999777e-01;9.99999835e-01;9.99999879e-01;9.99999911e-01;9.99999935e-01;9.99999953e-01;9.99999966e-01;9.99999976e-01;9.99999983e-01;9.99999988e-01;9.99999991e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.31714910e+00;-5.21958016e-02;5.02765867e-02
4.35308276e-01;5.62964142e-01;6.56641073e-01;7.27194408e-01;7.83130151e-01;8.28559448e-01;8.65746300e-01;8.96085423e-01;9.20544777e-01;9.39902613e-01;9.54886471e-01;9.66235869e-01;9.74689038e-01;9.80924145e-01;9.85508887e-01;9.88885778e-01;9.91384907e-01;9.93246897e-01;9.94645393e-01;9.95705349e-01;9.96516763e-01;9.97144621e-01;9.97636019e-01;9.98025214e-01;9.98337229e-01;9.98590417e-01;9.98798303e-01;9.98970903e-01;9.99115677e-01;9.99238219e-01;9.99342757e-01;9.99432517e-01;9.99509987e-01;9.99577112e-01;9.99635431e-01;9.99686184e-01;9.99730386e-01;9.99768878e-01;9.99802372e-01;9.99831476e-01;9.99856718e-01;9.99878560e-01;9.99897410e-01;9.99913630e-01;9.99927541e-01;9.99939432e-01;9.99949559e-01;9.99958152e-01;9.99965415e-01;9.99971530e-01;9.99976656e-01;9.99980937e-01;9.99984496e-01;9.99987443e-01;9.99989871e-01;9.99991865e-01;9.99993493e-01;9.99994818e-01;9.99995891e-01;9.99996755e-01;9.99997449e-01;9.99998004e-01;9.99998444e-01;9.99998793e-01;9.99999068e-01;9.99999283e-01;9.99999451e-01;9.99999582e-01;9.99999683e-01;9.99999760e-01;9.99999820e-01;9.99999865e-01;9.99999900e-01;9.99999926e-01;9.99999945e-01;9.99999960e-01;9.99999970e-01;9.99999979e-01;9.99999984e-01;9.99999989e-01;9.99999992e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.31879479e+00;-5.21350271e-02;3.30718255e-02
4.35668191e-01;5.63432235e-01;6.57191912e-01;7.27810431e-01;7.83799974e-01;8.29274245e-01;8.66498127e-01;8.96866238e-01;9.21345750e-01;9.40713740e-01;9.55696743e-01;9.67034203e-01;9.75465566e-01;9.81671104e-01;9.86220759e-01;9.89558970e-01;9.92017314e-01;9.93837514e-01;9.95194038e-01;9.96212458e-01;9.96983240e-01;9.97571736e-01;9.98025317e-01;9.98378455e-01;9.98656327e-01;9.98877396e-01;9.99055254e-01;9.99199947e-01;9.99318937e-01;9.99417791e-01;9.99500688e-01;9.99570785e-01;9.99630487e-01;9.99681640e-01;9.99725681e-01;9.99763738e-01;9.99796709e-01;9.99825320e-01;9.99850166e-01;9.99871744e-01;9.99890470e-01;9.99906702e-01;9.99920748e-01;9.99932876e-01;9.99943324e-01;9.99952299e-01;9.99959986e-01;9.99966549e-01;9.99972133e-01;9.99976869e-01;9.99980869e-01;9.99984236e-01;9.99987060e-01;9.99989418e-01;9.99991379e-01;9.99993005e-01;9.99994346e-01;9.99995448e-01;9.99996350e-01;9.99997085e-01;9.99997681e-01;9.99998163e-01;9.99998551e-01;9.99998862e-01;9.99999109e-01;9.99999306e-01;9.99999462e-01;9.99999584e-01;9.99999680e-01;9.99999755e-01;9.99999813e-01;9.99999858e-01;9.99999893e-01;9.99999919e-01;9.99999939e-01;9.99999955e-01;9.99999966e-01;9.99999975e-01;9.99999982e-01;9.99999987e-01;9.99999990e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.31987579e+00;-5.20951684e-02;2.17933897e-02
4.35905115e-01;5.63740369e-01;6.57554516e-01;7.28215955e-01;7.84240943e-01;8.29744877e-01;8.66993240e-01;8.97380609e-01;9.21873663e-01;9.41248731e-01;9.56231705e-01;9.67561968e-01;9.75979744e-01;9.82166650e-01;9.86694072e-01;9.90007679e-01;9.92439999e-01;9.94233460e-01;9.95563051e-01;9.96554736e-01;9.97299282e-01;9.97862271e-01;9.98291256e-01;9.98620847e-01;9.98876328e-01;9.99076237e-01;9.99234217e-01;9.99360345e-01;9.99462092e-01;9.99545017e-01;9.99613278e-01;9.99669997e-01;9.99717534e-01;9.99757683e-01;9.99791820e-01;9.99821008e-01;9.99846077e-01;9.99867684e-01;9.99886353e-01;9.99902510e-01;9.99916503e-01;9.99928624e-01;9.99939118e-01;9.99948193e-01;9.99956030e-01;9.99962783e-01;9.99968591e-01;9.99973572e-01;9.99977833e-01;9.99981467e-01;9.99984557e-01;9.99987175e-01;9.99989386e-01;9.99991246e-01;9.99992806e-01;9.99994110e-01;9.99995194e-01;9.99996094e-01;9.99996837e-01;9.99997448e-01;9.99997949e-01;9.99998358e-01;9.99998690e-01;9.99998959e-01;9.99999176e-01;9.99999351e-01;9.99999490e-01;9.99999601e-01;9.99999689e-01;9.99999759e-01;9.99999814e-01;9.99999857e-01;9.99999890e-01;9.99999916e-01;9.99999936e-01;9.99999952e-01;9.99999964e-01;9.99999973e-01;9.99999979e-01;9.99999985e-01;9.99999989e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.32058740e+00;-5.20689537e-02;1.43955982e-02
4.36061419e-01;5.63943653e-01;6.57793737e-01;7.28483497e-01;7.84531885e-01;8.30055423e-01;8.67320000e-01;8.97720176e-01;9.22222323e-01;9.41602294e-01;9.56585563e-01;9.67911475e-01;9.76320748e-01;9.82495867e-01;9.87009145e-01;9.90307047e-01;9.92722708e-01;9.94499010e-01;9.95811272e-01;9.96785709e-01;9.97513279e-01;9.98059714e-01;9.98472681e-01;9.98786884e-01;9.99027674e-01;9.99213644e-01;9.99358474e-01;9.99472264e-01;9.99562496e-01;9.99634731e-01;9.99693119e-01;9.99740764e-01;9.99780004e-01;9.99812603e-01;9.99839903e-01;9.99862930e-01;9.99882475e-01;9.99899151e-01;9.99913440e-01;9.99925726e-01;9.99936314e-01;9.99945453e-01;9.99953350e-01;9.99960173e-01;9.99966066e-01;9.99971152e-01;9.99975535e-01;9.99979306e-01;9.99982543e-01;9.99985315e-01;9.99987684e-01;9.99989703e-01;9.99991417e-01;9.99992869e-01;9.99994095e-01;9.99995126e-01;9.99995991e-01;9.99996713e-01;9.99997315e-01;9.99997814e-01;9.99998227e-01;9.99998567e-01;9.99998846e-01;9.99999074e-01;9.99999259e-01;9.99999410e-01;9.99999532e-01;9.99999630e-01;9.99999708e-01;9.99999771e-01;9.99999821e-01;9.99999860e-01;9.99999892e-01;9.99999916e-01;9.99999936e-01;9.99999951e-01;9.99999962e-01;9.99999971e-01;9.99999978e-01;9.99999984e-01;9.99999988e-01;9.99999991e-01;9.99999993e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.32105686e+00;-5.20516672e-02;9.53188422e-03
4.36164761e-01;5.64078055e-01;6.57951901e-01;7.28660390e-01;7.84724260e-01;8.30260780e-01;8.67536113e-01;8.97944817e-01;9.22453071e-01;9.41836421e-01;9.56820073e-01;9.68143345e-01;9.76547275e-01;9.82714907e-01;9.87219156e-01;9.90506998e-01;9.92911961e-01;9.94677216e-01;9.95978298e-01;9.96941580e-01;9.97658143e-01;9.98193813e-01;9.98596335e-01;9.98900469e-01;9.99131615e-01;9.99308400e-01;9.99444531e-01;9.99550125e-01;9.99632676e-01;9.99697747e-01;9.99749487e-01;9.99790993e-01;9.99824589e-01;9.99852026e-01;9.99874626e-01;9.99893392e-01;9.99909093e-01;9.99922318e-01;9.99933522e-01;9.99943062e-01;9.99951219e-01;9.99958214e-01;9.99964229e-01;9.99969408e-01;9.99973872e-01;9.99977721e-01;9.99981038e-01;9.99983894e-01;9.99986352e-01;9.99988462e-01;9.99990271e-01;9.99991818e-01;9.99993139e-01;9.99994263e-01;9.99995217e-01;9.99996025e-01;9.99996706e-01;9.99997279e-01;9.99997760e-01;9.99998162e-01;9.99998496e-01;9.99998774e-01;9.99999004e-01;9.99999194e-01;9.99999349e-01;9.99999477e-01;9.99999581e-01;9.99999665e-01;9.99999733e-01;9.99999789e-01;9.99999833e-01;9.99999868e-01;9.99999897e-01;9.99999919e-01;9.99999937e-01;9.99999951e-01;9.99999962e-01;9.99999971e-01;9.99999978e-01;9.99999983e-01;9.99999987e-01;9.99999990e-01;9.99999993e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.32136725e+00;-5.20402404e-02;6.32336694e-03
4.36233230e-01;5.64167103e-01;6.58056692e-01;7.28777593e-01;7.84851726e-01;8.30396859e-01;8.67679341e-01;8.98093732e-01;9.22606089e-01;9.41991760e-01;9.56975779e-01;9.68297446e-01;9.76698005e-01;9.82860863e-01;9.87359326e-01;9.90640701e-01;9.93038772e-01;9.94796895e-01;9.96090744e-01;9.97046794e-01;9.97756204e-01;9.98284861e-01;9.98680559e-01;9.98978097e-01;9.99202905e-01;9.99373634e-01;9.99504009e-01;9.99604161e-01;9.99681590e-01;9.99741866e-01;9.99789135e-01;9.99826495e-01;9.99856262e-01;9.99880179e-01;9.99899557e-01;9.99915388e-01;9.99928427e-01;9.99939247e-01;9.99948289e-01;9.99955894e-01;9.99962326e-01;9.99967791e-01;9.99972453e-01;9.99976442e-01;9.99979864e-01;9.99982804e-01;9.99985333e-01;9.99987508e-01;9.99989378e-01;9.99990986e-01;9.99992367e-01;9.99993551e-01;9.99994564e-01;9.99995430e-01;9.99996168e-01;9.99996796e-01;9.99997328e-01;9.99997778e-01;9.99998158e-01;9.99998478e-01;9.99998746e-01;9.99998970e-01;9.99999156e-01;9.99999311e-01;9.99999440e-01;9.99999545e-01;9.99999633e-01;9.99999704e-01;9.99999762e-01;9.99999810e-01;9.99999848e-01;9.99999879e-01;9.99999904e-01;9.99999924e-01;9.99999941e-01;9.99999953e-01;9.99999964e-01;9.99999972e-01;9.99999978e-01;9.99999983e-01;9.99999987e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999996e-01;9.99999997e-01;9.99999997e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.32157289e+00;-5.20326698e-02;4.20255306e-03
4.36278684e-01;5.64226218e-01;6.58126259e-01;7.28855402e-01;7.84936352e-01;8.30487211e-01;8.67774451e-01;8.98192640e-01;9.22707754e-01;9.42095016e-01;9.57079347e-01;9.68400035e-01;9.76798460e-01;9.82958264e-01;9.87453006e-01;9.90730212e-01;9.93123828e-01;9.94877334e-01;9.96166490e-01;9.97117839e-01;9.97822591e-01;9.98346671e-01;9.98737904e-01;9.99031114e-01;9.99251753e-01;9.99418486e-01;9.99545051e-01;9.99641587e-01;9.99715603e-01;9.99772670e-01;9.99816937e-01;9.99851499e-01;9.99878673e-01;9.99900194e-01;9.99917370e-01;9.99931186e-01;9.99942386e-01;9.99951538e-01;9.99959073e-01;9.99965320e-01;9.99970535e-01;9.99974914e-01;9.99978610e-01;9.99981745e-01;9.99984414e-01;9.99986692e-01;9.99988642e-01;9.99990314e-01;9.99991748e-01;9.99992980e-01;9.99994037e-01;9.99994944e-01;9.99995721e-01;9.99996387e-01;9.99996956e-01;9.99997441e-01;9.99997855e-01;9.99998206e-01;9.99998504e-01;9.99998756e-01;9.99998968e-01;9.99999147e-01;9.99999296e-01;9.99999421e-01;9.99999526e-01;9.99999612e-01;9.99999684e-01;9.99999743e-01;9.99999792e-01;9.99999832e-01;9.99999865e-01;9.99999892e-01;9.99999913e-01;9.99999931e-01;9.99999945e-01;9.99999957e-01;9.99999966e-01;9.99999973e-01;9.99999979e-01;9.99999984e-01;9.99999987e-01;9.99999990e-01;9.99999992e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.32170942e+00;-5.20276436e-02;2.79793426e-03
4.36308916e-01;5.64265537e-01;6.58172530e-01;7.28907154e-01;7.84992641e-01;8.30547312e-01;8.67837726e-01;8.98258454e-01;9.22775422e-01;9.42163773e-01;9.57148354e-01;9.68468444e-01;9.76865512e-01;9.83023355e-01;9.87515698e-01;9.90790206e-01;9.93180935e-01;9.94931443e-01;9.96217547e-01;9.97165834e-01;9.97867545e-01;9.98388631e-01;9.98776938e-01;9.99067306e-01;9.99285198e-01;9.99449292e-01;9.99573333e-01;9.99667468e-01;9.99739208e-01;9.99794128e-01;9.99836380e-01;9.99869058e-01;9.99894477e-01;9.99914371e-01;9.99930045e-01;9.99942480e-01;9.99952415e-01;9.99960413e-01;9.99966900e-01;9.99972199e-01;9.99976559e-01;9.99980172e-01;9.99983183e-01;9.99985707e-01;9.99987835e-01;9.99989635e-01;9.99991165e-01;9.99992468e-01;9.99993581e-01;9.99994533e-01;9.99995348e-01;9.99996046e-01;9.99996645e-01;9.99997158e-01;9.99997596e-01;9.99997971e-01;9.99998291e-01;9.99998564e-01;9.99998797e-01;9.99998994e-01;9.99999161e-01;9.99999302e-01;9.99999421e-01;9.99999521e-01;9.99999604e-01;9.99999674e-01;9.99999733e-01;9.99999781e-01;9.99999822e-01;9.99999855e-01;9.99999882e-01;9.99999905e-01;9.99999923e-01;9.99999938e-01;9.99999951e-01;9.99999961e-01;9.99999969e-01;9.99999975e-01;9.99999980e-01;9.99999984e-01;9.99999988e-01;9.99999990e-01;9.99999993e-01;9.99999994e-01;9.99999995e-01;9.99999996e-01;9.99999997e-01;9.99999998e-01;9.99999998e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;9.99999999e-01;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.00000000e+00;1.32180022e+00;-5.20243002e-02;1.86586784e-03
